2021/01/02 14:21:52 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:62220
2021/01/02 14:22:09 main.go:22: localhost:8000 - POST - /api/v1/events?module=achievements - [::1]:62237
2021/01/02 14:22:09 helper.go:151: file has been created and stored -dist\img\achievements\android-chrome-512x512.png
2021/01/02 14:22:09 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:62237
2021/01/02 14:22:26 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:62247
2021/01/02 14:22:27 main.go:22: localhost:8000 - GET - /api/v1/events/10005 - [::1]:62247
2021/01/02 14:22:31 main.go:22: localhost:8000 - GET - /api/v1/events/10005 - [::1]:62247
2021/01/02 14:22:49 main.go:22: localhost:8000 - POST - /api/v1/events/10005/images - [::1]:62259
2021/01/02 14:22:50 helper.go:151: file has been created and stored -dist\img\achievements10005\apple-touch-icon-76x76.png
2021/01/02 14:22:50 helper.go:151: file has been created and stored -dist\img\achievements10005\apple-touch-icon-120x120.png
2021/01/02 14:22:50 helper.go:151: file has been created and stored -dist\img\achievements10005\apple-touch-icon-152x152.png
2021/01/02 14:22:50 helper.go:151: file has been created and stored -dist\img\achievements10005\apple-touch-icon-180x180.png
2021/01/02 14:22:50 main.go:22: localhost:8000 - GET - /api/v1/events/10005 - [::1]:62259
2021/01/02 14:23:01 main.go:22: localhost:8000 - GET - /api/v1/events/10005 - [::1]:62259
2021/01/02 14:24:23 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:62307
2021/01/02 14:24:23 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:62307
2021/01/02 14:24:23 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:62307
2021/01/02 14:24:32 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:62307
2021/01/02 14:24:33 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:62307
2021/01/02 14:24:36 main.go:22: localhost:8000 - GET - /api/v1/events/10005 - [::1]:62307
2021/01/02 14:26:41 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:62372
2021/01/02 14:26:41 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:62372
2021/01/02 14:26:41 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:62372
